"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LACRT",24.0246327331945,-1.66260077017365,0.548999921766456,-3.02841713496805,0.00245838488440521,0.0127174380162777
"KRT85",2.68513478377095,-2.18546418642531,0.32519510241695,-6.72047078871196,1.81138346089763e-11,2.29434063560189e-09
"PCDH8",14.5836131626888,-1.64084711547302,0.298531044182572,-5.49640363187666,3.87614756383844e-08,1.40493884829546e-06
"NKX2-1",1.52078652961566,-1.81876484617747,0.689510464560474,-2.63776249913312,0.00834550075975016,0.0332354711759262
"IL36A",0.634484428071448,-2.00518190389468,0.787593450336769,-2.54596061335614,0.0108977483596231,0.040906664005159
"GABBR2",71.3161744428176,-4.01477768555195,0.343644531291378,-11.6829378033891,1.55815479018002e-31,6.07867346745031e-28
"DMRT1",2.8665002633081,-1.91340967259525,0.409580199840381,-4.67163616146711,2.98809914221823e-06,5.17636428668816e-05
"SLC22A7",4.14248303199709,1.74919784629243,0.302955172577989,5.77378438997321,7.7510608779722e-09,3.69488140520894e-07
"TMPRSS4",361.336817928132,-1.59836193969061,0.299065024432752,-5.34452981495341,9.06520546274401e-08,2.87055028825137e-06
"LBX1",2.36529469913213,-2.04788923359545,0.521734720423437,-3.92515420850925,8.66741951304206e-05,0.000844507241642563
"HCN4",17.6693605968447,-1.64954284261277,0.269874548293969,-6.11225791035304,9.82312575606972e-10,6.72315407010161e-08
"RLBP1",3.63942121540418,-2.10843810444897,0.309414758470251,-6.81427775091631,9.47385113012766e-12,1.35880103047258e-09
"SH3GL3",9.47940617497669,-2.44169892295855,0.304380454067641,-8.02186503873192,1.04151539769414e-15,4.41647811900475e-13
"FBN3",139.826059558449,-2.38717957079759,0.268351076651641,-8.895733158904,5.80348747408551e-19,5.26524775207032e-16
"PADI3",88.0610382799094,-1.51982900743263,0.309876861511079,-4.90462243621984,9.36072188140926e-07,1.9643920496909e-05
"C1orf94",2.93867937917415,-3.1045237631295,0.502429013462329,-6.17902963392911,6.44967900051341e-10,4.63379147639096e-08
"BARHL2",0.751629842170434,-1.85257095669875,0.512562490747573,-3.61433189150609,0.000301123123069259,0.00231248332227912
"PROK1",16.010305167972,1.95448611992251,0.269450577538476,7.25359781291772,4.05844049914603e-13,8.8948247613868e-11
"HORMAD1",92.4785398129286,-4.9415120318735,0.322496979502397,-15.3226614385602,5.39619521888056e-53,2.10516367878968e-48
"CRNN",0.65234989145612,-2.08331558257159,0.750646015322141,-2.77536354026675,0.00551400335497943,0.0240429528204378
"S100A8",791.147982565307,-1.67055606628093,0.270566119864229,-6.17429878921728,6.64577564134423e-10,4.74844321099123e-08
"TRIM43",1.63277258522743,-2.73733967023072,0.646899973247398,-4.23147284500484,2.32166027140638e-05,0.000285988665955496
"SCN1A",11.6547976144772,-1.89411434636629,0.398658133145167,-4.75122464308679,2.02188354545196e-06,3.72240306159376e-05
"GC",1.75969264091342,3.256034868469,0.758909691706152,4.29041149961982,1.7834234783292e-05,0.000229771851838107
"STRA8",4.95398583128177,-2.30198328589714,0.468253050795653,-4.91610953091629,8.82810172272082e-07,1.8737862046071e-05
"MAGEA4",16.5401395772458,-3.49014120733946,0.761567099511455,-4.58284136693718,4.58700020897123e-06,7.42523037976705e-05
"PXDNL",194.042987477096,-1.79403279531576,0.204325226265328,-8.78028047787947,1.63067493104865e-18,1.29828347775653e-15
"SLC39A12",6.7819636271279,-1.73970856659136,0.336998399077859,-5.16236448408001,2.43849898742133e-07,6.45964846402779e-06
"RGR",8.84758990204496,-2.18332402579172,0.358644888640134,-6.08770428618174,1.14541178284527e-09,7.5865542397894e-08
"ANKRD1",36.5553747430536,-2.38401919759733,0.25345532807541,-9.4060725244964,5.15022336358662e-21,7.11280248627634e-18
"INA",9.34385360890913,-1.95087114906099,0.24667472255078,-7.90867880132872,2.60134822431302e-15,9.56971353524618e-13
"KLHL1",10.2196188491648,-3.03284070423674,0.80342806669084,-3.77487522526865,0.000160087773199211,0.00138908901424547
"POU4F1",11.1953480454243,-3.99553234065658,0.411587561054336,-9.70761198521525,2.79815837490344e-22,4.74616324007535e-19
"CPB1",21395.54195751,-5.37428370498574,0.390820347751318,-13.7512893991012,5.0029857031384e-43,4.87941195627088e-39
"CHODL",92.3462089049548,-2.26540519512491,0.219129132651903,-10.3382200609703,4.73245562818391e-25,1.23081705977807e-21
"XAGE2",2.84257848095538,-3.17332419033287,0.55562984763747,-5.71121980546184,1.1216925701001e-08,5.04141365722871e-07
"RAET1L",23.557178732171,-2.42082284261184,0.314726644310734,-7.69182681661272,1.45048870588708e-14,4.28685343894446e-12
"UGT2B4",31.0576873196027,-1.77766440503448,0.362114160708691,-4.90912700446573,9.14827200254622e-07,1.92706472658387e-05
"ART3",124.847652947395,-4.38156157161448,0.308323935165117,-14.210903118073,7.84077624363632e-46,1.01961454272247e-41
