"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT34",1.04086291917826,-1.95317468211778,0.472511320791713,-4.13360399248244,3.57118596164397e-05,0.000405801112311108
"DDC",24.0313661382374,-2.67570224376483,0.309118668159311,-8.65590635369148,4.8901002260388e-18,3.71091488133634e-15
"FADS2",6921.16612317816,-1.51663161224378,0.20147891111526,-7.52749557682573,5.17227600388571e-14,1.47189283751753e-11
"TCN1",1054.4471164031,1.5262437706093,0.305151144683426,5.00159936215439,5.68566504176784e-07,1.31449586885603e-05
"UGT2A3",0.740053554576898,-1.57977186643056,0.495789399124146,-3.18637685521586,0.00144066804010589,0.00809358898071971
"CSN2",19.7716286349865,5.39882139577126,0.944755594077265,5.71451646289986,1.10016398448105e-08,5.00924076792773e-07
"UGT2B28",59.5441413363955,-1.7421305955045,0.369253571783474,-4.71797899500363,2.38199080469948e-06,4.28183038195446e-05
"CGA",135.196878634728,1.64106166355807,0.422232113119783,3.88663394508914,0.000101643851496099,0.00095411601760903
"ELF5",1356.85005726414,-1.84091962083796,0.279775705595161,-6.57998383713059,4.70499412071241e-11,5.32434744034537e-09
"LACRT",24.1331039554625,-1.6740484770458,0.545659113551718,-3.06793827037791,0.00215541137441214,0.0111896352800132
"KRT85",2.68364817501217,-2.18784150900235,0.326607133726405,-6.69869480204031,2.10289261493908e-11,2.7219448154974e-09
"PCDH8",14.6449383708448,-1.64950092230482,0.298782867269858,-5.520734630393,3.37585285180282e-08,1.27927332777716e-06
"NKX2-1",1.52288319664632,-1.82464560694593,0.696990195521625,-2.61789278912364,0.00884745977189947,0.0340034149048712
"IL36A",0.632865547093715,-2.00497904081004,0.801521656435194,-2.50146583652809,0.0123680374653449,0.0440154285962095
"GABBR2",72.4826584627859,-3.74492996645317,0.349291631685877,-10.721499248001,8.06847302851201e-27,3.4696227016608e-23
"DMRT1",2.85675058102792,-1.91003033453163,0.411984232111254,-4.63617339125697,3.54918279998169e-06,5.97739219864627e-05
"SLC22A7",4.14278416145152,1.76400615268546,0.304211602304652,5.79861563241399,6.68645906274446e-09,3.32621257900175e-07
"TMPRSS4",362.632345796764,-1.60765303550197,0.299780465529146,-5.36276782633012,8.19563198732608e-08,2.6165819848646e-06
"LBX1",2.36278741645792,-2.04922193053559,0.525576441546349,-3.8989988297542,9.65912414452295e-05,0.000915904635813844
"HCN4",17.7055783364703,-1.65620994447107,0.270713492514565,-6.11794384198254,9.47904574220437e-10,6.50457497012045e-08
"RLBP1",3.63314176827884,-2.10874952057561,0.310742989910379,-6.78615315242927,1.15162899394154e-11,1.65713439186493e-09
"SH3GL3",9.51052568087393,-2.45073198244054,0.305066344294442,-8.03343937564991,9.47774977001056e-16,4.31538672469351e-13
"FBN3",140.284354338288,-2.3965117289724,0.268912885389271,-8.91185160392472,5.01872780906078e-19,5.11144220174396e-16
"PADI3",88.4255215458699,-1.53078553919859,0.309883981606933,-4.93986662769902,7.81760241452031e-07,1.7132324385434e-05
"C1orf94",2.9468167109782,-3.11315741376785,0.505259910778968,-6.16149697878907,7.20604460506932e-10,5.17418067356944e-08
"BARHL2",0.754757226061688,-1.86300804981324,0.511362460673444,-3.64322411809371,0.000269244209469376,0.0020830388285797
"PROK1",16.0588072378334,1.95081397156059,0.270374442134809,7.21523068584979,5.384262117101e-13,1.21860650559089e-10
"HORMAD1",92.8498648993214,-4.95202517142292,0.323065169930971,-15.3282545824454,4.95112443942108e-53,1.91618418054475e-48
"CRNN",0.655184593305602,-2.09410595950092,0.748189781002376,-2.79889676746904,0.0051277528278667,0.0221588086136777
"S100A8",794.481996755803,-1.68140463284499,0.27057775981097,-6.21412725872092,5.16106892271009e-10,3.93196239068358e-08
"TRIM43",1.63971315173078,-2.74823127167528,0.645203503812639,-4.25947976946098,2.04903242461456e-05,0.000257055600964126
"SCN1A",11.7001054442778,-1.90356575008122,0.399724808173123,-4.76219066507569,1.9150261394858e-06,3.58912066103531e-05
"GC",1.75454883731087,3.31529125581081,0.767188501694737,4.32135159545178,1.55076337244941e-05,0.000203864280028998
"STRA8",4.97042369165934,-2.31134449132922,0.470346177898334,-4.91413473722075,8.91754093480267e-07,1.90677717822504e-05
"MAGEA4",16.6053808380492,-3.49977281099749,0.760955115836723,-4.59918428585534,4.24148455400112e-06,6.97044310866035e-05
"PXDNL",194.621966947268,-1.80266933150831,0.204755227197891,-8.80402105566793,1.31999610214498e-18,1.18805788709802e-15
"SLC39A12",6.80585373537389,-1.74934504172594,0.337768303285753,-5.17912730326857,2.2292630835691e-07,6.06729534882499e-06
"RGR",8.88369118436377,-2.19380050270302,0.357925667280445,-6.12920699253489,8.83181625349125e-10,6.12560847029782e-08
"ANKRD1",36.6729656026455,-2.39287342245085,0.253885069473001,-9.42502616407426,4.29998350616254e-21,6.93408173564594e-18
"INA",9.37054691441488,-1.95943200725483,0.247437663703163,-7.91889148131241,2.39637378175631e-15,9.56128434036422e-13
"KLHL1",10.258934926473,-3.0424170504031,0.811536793837675,-3.74895762398624,0.000177571083375757,0.00149452496258562
"POU4F1",11.2343534851118,-4.00550059072283,0.412960480849257,-9.69947676950947,3.03048705313634e-22,6.17294262792014e-19
"CPB1",21229.9614428785,-5.36738223266253,0.392171258331025,-13.6863222855868,1.22557190232327e-42,1.18580209409288e-38
"CHODL",92.6900127574221,-2.27531558261805,0.219231401903544,-10.3786025307594,3.10283735683328e-25,1.09169101258329e-21
"XAGE2",2.85411163039514,-3.18359551090802,0.554343336305163,-5.74300312172503,9.30120115146356e-09,4.40067343476703e-07
"RAET1L",23.6464182736953,-2.43087121310932,0.315227575902871,-7.71148020964486,1.24366746236308e-14,3.97788579573354e-12
"UGT2B4",31.170524562092,-1.78711427876458,0.363199772594323,-4.92047190998851,8.63357910401564e-07,1.85734729562876e-05
"ART3",125.339094764614,-4.39191483525802,0.308584089203742,-14.2324733805646,5.76076463691651e-46,7.43177043259809e-42
"SLC28A1",14.7833041813017,-1.50976946757337,0.234864549347428,-6.42825608108275,1.29076164272135e-10,1.22739698026048e-08
"TMSB15A",108.408352765051,-1.71979375057252,0.212361310651282,-8.09843255015781,5.56718159585285e-16,2.69326327653371e-13
"TFF1",16256.3591543012,1.5024662303492,0.300677369752615,4.9969381852228,5.82477293732239e-07,1.34184739416816e-05
"DCD",198.696853722931,-2.62405035993037,0.509101571268982,-5.15427668665349,2.5461177383268e-07,6.73546471009733e-06
