"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000110245.10",1.39767925503636,1.59478497552115,0.591391887363149,2.69666359921143,0.00700379845275304,0.0282590708630576
"ENSG00000112238.11",3.23063209264474,-3.57328855534966,0.551390555750959,-6.48050373384265,9.14168918792751e-11,9.14216162664523e-09
"ENSG00000112333.10",3.50089039051142,-1.59428512829886,0.35538033623141,-4.48613771151571,7.25258745509714e-06,0.000109132830360486
"ENSG00000115592.10",7.60608275302773,-1.94434103005728,0.29689070004483,-6.54901291877345,5.79186217140787e-11,6.26135893178288e-09
"ENSG00000115596.3",100.572394367167,-2.06383845707078,0.263342983470768,-7.83707403125046,4.61166184480464e-15,1.65259756220027e-12
"ENSG00000115850.8",17.3316034554267,-2.05878804511578,0.249397823023271,-8.25503615131267,1.51856267940075e-16,8.27766377720674e-14
"ENSG00000116996.8",1.94462264109403,-1.53614258611197,0.408452904538413,-3.7608805545108,0.00016931627130063,0.00143703472190285
"ENSG00000117148.7",43.3618058776756,-2.07734220056814,0.352088269660174,-5.90006080740245,3.63367628654115e-09,2.00614179232119e-07
"ENSG00000120068.6",84.0425793715398,1.79220385877026,0.205021053972763,8.74156006928126,2.29913227970291e-18,1.91063976085887e-15
"ENSG00000120289.11",4.70014574061475,-2.23968151503849,0.513764692866856,-4.3593527272979,1.30447707717397e-05,0.000177517130241867
"ENSG00000120563.7",1.62458376076682,-1.76374673324271,0.384520610188164,-4.58687177360825,4.49936830317424e-06,7.32579153036308e-05
"ENSG00000123358.18",6571.2535409326,1.79751504787363,0.18326571251217,9.80824521528685,1.03757120466439e-22,2.36212239781891e-19
"ENSG00000124102.4",101.85535808988,-2.34560461680899,0.302936033214487,-7.74290397850504,9.71714274680538e-15,3.27019877032054e-12
"ENSG00000124205.14",127.488228392439,1.67514593866908,0.302595272286619,5.53592898530939,3.09582993899688e-08,1.18746095440096e-06
"ENSG00000125740.12",6779.96082613075,1.569878658801,0.230300600074594,6.81665031829062,9.31877160214679e-12,1.39788797886157e-09
"ENSG00000125798.13",2.80170526851345,-2.5717651172965,0.520484467451226,-4.94109868425132,7.76835749975662e-07,1.70437058931735e-05
"ENSG00000126545.12",33.0834049557,2.19331492532763,0.46022042377355,4.76579224221228,1.88113019115389e-06,3.53523925523948e-05
"ENSG00000127928.11",20.3164120426453,-1.61508826550563,0.561268810883477,-2.87756638920194,0.00400755573787547,0.0183312164244482
"ENSG00000129988.5",410.487927658164,-1.67641084424881,0.278764865935621,-6.01370921913797,1.81325642709639e-09,1.12643098300938e-07
"ENSG00000130234.9",45.0546473006614,-1.74864730476714,0.251222504869544,-6.96055198428653,3.38942060382046e-12,5.93562697778549e-10
"ENSG00000130294.13",687.226969116386,-3.53879228998456,0.310291048849877,-11.4047514522299,3.95906435240651e-30,2.18891012238338e-26
"ENSG00000131686.13",14.5207723941382,-2.07567128752431,0.363216642535864,-5.71469212708049,1.0990281618918e-08,5.00924076792773e-07
"ENSG00000131737.5",1.04086291917826,-1.95317468211778,0.472511320791713,-4.13360399248244,3.57118596164397e-05,0.000405801112311108
"ENSG00000132437.16",24.0313661382374,-2.67570224376483,0.309118668159311,-8.65590635369148,4.8901002260388e-18,3.71091488133634e-15
"ENSG00000134824.12",6921.16612317816,-1.51663161224378,0.20147891111526,-7.52749557682573,5.17227600388571e-14,1.47189283751753e-11
"ENSG00000134827.6",1054.4471164031,1.5262437706093,0.305151144683426,5.00159936215439,5.68566504176784e-07,1.31449586885603e-05
"ENSG00000135220.9",0.740053554576898,-1.57977186643056,0.495789399124146,-3.18637685521586,0.00144066804010589,0.00809358898071971
"ENSG00000135222.6",19.7716286349865,5.39882139577126,0.944755594077265,5.71451646289986,1.10016398448105e-08,5.00924076792773e-07
"ENSG00000135226.15",59.5441413363955,-1.7421305955045,0.369253571783474,-4.71797899500363,2.38199080469948e-06,4.28183038195446e-05
"ENSG00000135346.7",135.196878634728,1.64106166355807,0.422232113119783,3.88663394508914,0.000101643851496099,0.00095411601760903
"ENSG00000135374.8",1356.85005726414,-1.84091962083796,0.279775705595161,-6.57998383713059,4.70499412071241e-11,5.32434744034537e-09
"ENSG00000135413.7",24.1331039554625,-1.6740484770458,0.545659113551718,-3.06793827037791,0.00215541137441214,0.0111896352800132
"ENSG00000135443.7",2.68364817501217,-2.18784150900235,0.326607133726405,-6.69869480204031,2.10289261493908e-11,2.7219448154974e-09
"ENSG00000136099.12",14.6449383708448,-1.64950092230482,0.298782867269858,-5.520734630393,3.37585285180282e-08,1.27927332777716e-06
"ENSG00000136352.16",1.52288319664632,-1.82464560694593,0.696990195521625,-2.61789278912364,0.00884745977189947,0.0340034149048712
"ENSG00000136694.8",0.632865547093715,-2.00497904081004,0.801521656435194,-2.50146583652809,0.0123680374653449,0.0440154285962095
"ENSG00000136928.4",72.4826584627859,-3.74492996645317,0.349291631685877,-10.721499248001,8.06847302851201e-27,3.4696227016608e-23
"ENSG00000137090.10",2.85675058102792,-1.91003033453163,0.411984232111254,-4.63617339125697,3.54918279998169e-06,5.97739219864627e-05
"ENSG00000137204.13",4.14278416145152,1.76400615268546,0.304211602304652,5.79861563241399,6.68645906274446e-09,3.32621257900175e-07
"ENSG00000137648.15",362.632345796764,-1.60765303550197,0.299780465529146,-5.36276782633012,8.19563198732608e-08,2.6165819848646e-06
"ENSG00000138136.6",2.36278741645792,-2.04922193053559,0.525576441546349,-3.8989988297542,9.65912414452295e-05,0.000915904635813844
"ENSG00000138622.3",17.7055783364703,-1.65620994447107,0.270713492514565,-6.11794384198254,9.47904574220437e-10,6.50457497012045e-08
"ENSG00000140522.10",3.63314176827884,-2.10874952057561,0.310742989910379,-6.78615315242927,1.15162899394154e-11,1.65713439186493e-09
"ENSG00000140600.15",9.51052568087393,-2.45073198244054,0.305066344294442,-8.03343937564991,9.47774977001056e-16,4.31538672469351e-13
"ENSG00000142449.11",140.284354338288,-2.3965117289724,0.268912885389271,-8.91185160392472,5.01872780906078e-19,5.11144220174396e-16
"ENSG00000142619.4",88.4255215458699,-1.53078553919859,0.309883981606933,-4.93986662769902,7.81760241452031e-07,1.7132324385434e-05
"ENSG00000142698.13",2.9468167109782,-3.11315741376785,0.505259910778968,-6.16149697878907,7.20604460506932e-10,5.17418067356944e-08
"ENSG00000143032.7",0.754757226061688,-1.86300804981324,0.511362460673444,-3.64322411809371,0.000269244209469376,0.0020830388285797
"ENSG00000143125.5",16.0588072378334,1.95081397156059,0.270374442134809,7.21523068584979,5.384262117101e-13,1.21860650559089e-10
"ENSG00000143452.14",92.8498648993214,-4.95202517142292,0.323065169930971,-15.3282545824454,4.95112443942108e-53,1.91618418054475e-48
"ENSG00000143536.7",0.655184593305602,-2.09410595950092,0.748189781002376,-2.79889676746904,0.0051277528278667,0.0221588086136777
"ENSG00000143546.8",794.481996755803,-1.68140463284499,0.27057775981097,-6.21412725872092,5.16106892271009e-10,3.93196239068358e-08
"ENSG00000144015.4",1.63971315173078,-2.74823127167528,0.645203503812639,-4.25947976946098,2.04903242461456e-05,0.000257055600964126
"ENSG00000144285.14",11.7001054442778,-1.90356575008122,0.399724808173123,-4.76219066507569,1.9150261394858e-06,3.58912066103531e-05
"ENSG00000145321.11",1.75454883731087,3.31529125581081,0.767188501694737,4.32135159545178,1.55076337244941e-05,0.000203864280028998
"ENSG00000146857.3",4.97042369165934,-2.31134449132922,0.470346177898334,-4.91413473722075,8.91754093480267e-07,1.90677717822504e-05
"ENSG00000147381.10",16.6053808380492,-3.49977281099749,0.760955115836723,-4.59918428585534,4.24148455400112e-06,6.97044310866035e-05
"ENSG00000147485.11",194.621966947268,-1.80266933150831,0.204755227197891,-8.80402105566793,1.31999610214498e-18,1.18805788709802e-15
"ENSG00000148482.10",6.80585373537389,-1.74934504172594,0.337768303285753,-5.17912730326857,2.2292630835691e-07,6.06729534882499e-06
"ENSG00000148604.12",8.88369118436377,-2.19380050270302,0.357925667280445,-6.12920699253489,8.83181625349125e-10,6.12560847029782e-08
"ENSG00000148677.6",36.6729656026455,-2.39287342245085,0.253885069473001,-9.42502616407426,4.29998350616254e-21,6.93408173564594e-18
"ENSG00000148798.8",9.37054691441488,-1.95943200725483,0.247437663703163,-7.91889148131241,2.39637378175631e-15,9.56128434036422e-13
"ENSG00000150361.10",10.258934926473,-3.0424170504031,0.811536793837675,-3.74895762398624,0.000177571083375757,0.00149452496258562
"ENSG00000152192.7",11.2343534851118,-4.00550059072283,0.412960480849257,-9.69947676950947,3.03048705313634e-22,6.17294262792014e-19
"ENSG00000153002.10",21229.9614428785,-5.36738223266253,0.392171258331025,-13.6863222855868,1.22557190232327e-42,1.18580209409288e-38
"ENSG00000154645.12",92.6900127574221,-2.27531558261805,0.219231401903544,-10.3786025307594,3.10283735683328e-25,1.09169101258329e-21
"ENSG00000155622.6",2.85411163039514,-3.18359551090802,0.554343336305163,-5.74300312172503,9.30120115146356e-09,4.40067343476703e-07
"ENSG00000155918.6",23.6464182736953,-2.43087121310932,0.315227575902871,-7.71148020964486,1.24366746236308e-14,3.97788579573354e-12
"ENSG00000156096.11",31.170524562092,-1.78711427876458,0.363199772594323,-4.92047190998851,8.63357910401564e-07,1.85734729562876e-05
"ENSG00000156219.15",125.339094764614,-4.39191483525802,0.308584089203742,-14.2324733805646,5.76076463691651e-46,7.43177043259809e-42
"ENSG00000156222.10",14.7833041813017,-1.50976946757337,0.234864549347428,-6.42825608108275,1.29076164272135e-10,1.22739698026048e-08
"ENSG00000158164.6",108.408352765051,-1.71979375057252,0.212361310651282,-8.09843255015781,5.56718159585285e-16,2.69326327653371e-13
"ENSG00000160182.2",16256.3591543012,1.5024662303492,0.300677369752615,4.9969381852228,5.82477293732239e-07,1.34184739416816e-05
"ENSG00000161634.10",198.696853722931,-2.62405035993037,0.509101571268982,-5.15427668665349,2.5461177383268e-07,6.73546471009733e-06
"ENSG00000162670.9",400.971956080814,1.78459537736785,0.470109269088389,3.79612888898881,0.000146973106768777,0.00128516791192165
"ENSG00000163064.6",512.888390806341,-2.38294041355427,0.241502463509759,-9.86714743577754,5.77845245843194e-23,1.39773541903896e-19
"ENSG00000163216.6",1.57204502892375,-2.41721417425053,0.904821910680545,-2.67148059271959,0.00755174392105324,0.0300069397569407
"ENSG00000163377.13",5.90222756521645,-1.6203663984205,0.326508203613846,-4.96271266842922,6.95153835906443e-07,1.55873949926137e-05
"ENSG00000164326.4",38.9788057499605,-2.08079696677714,0.565597900092053,-3.67893333132688,0.00023421147751937,0.00185899356090128
"ENSG00000164404.7",346.446393160524,2.14359112702442,0.234334942192793,9.14755224707732,5.82381255169249e-20,7.08330043522445e-17
"ENSG00000164434.10",161.164641091677,-1.70479712349365,0.323866082990273,-5.26389521172815,1.41034855012339e-07,4.16031323070698e-06
"ENSG00000164438.5",1.20058429424596,-3.02287655708569,0.770112406149536,-3.92524069596501,8.66430587851651e-05,0.000835391046612721
"ENSG00000164458.8",0.752902867609914,-1.63997468997236,0.574801682705818,-2.85311393357854,0.00432930967066652,0.0194874322952007
"ENSG00000164794.7",1.89123901608786,-2.10957849213123,0.449557708191761,-4.6925643887111,2.69801578286029e-06,4.75928016537188e-05
"ENSG00000165553.4",4.25033823254316,-1.50584297688462,0.314294596273264,-4.79118315981279,1.65800682916304e-06,3.2020050051032e-05
"ENSG00000165973.16",56.2063797612926,1.50097258148791,0.448816849910221,3.34428750121158,0.000824941997311645,0.00514618071888383
"ENSG00000166111.8",3.29597800752217,-1.79218484534497,0.36193843560962,-4.9516289761444,7.35948180170883e-07,1.63504110365795e-05
"ENSG00000166342.17",53.4345122950343,-1.53429260269693,0.24991787574842,-6.13918711537637,8.29448206029183e-10,5.80493751713227e-08
"ENSG00000166407.12",10.8679120922167,-1.5387151927951,0.301997964706535,-5.09511775779792,3.48524550715535e-07,8.72483645652822e-06
"ENSG00000166426.7",713.577329302769,-1.77702125020184,0.319020908834839,-5.57023442974964,2.54396806043867e-08,1.00981181410356e-06
"ENSG00000166535.18",326.303051878416,-2.97746727516095,0.296647956503116,-10.0370395611664,1.04771408232253e-23,3.11912541646512e-20
"ENSG00000167165.17",3.46377969628028,-3.26746045703947,0.594302076575438,-5.49797920254232,3.84168225735497e-08,1.42278264807801e-06
"ENSG00000167531.5",21.1512293300973,3.22423661102532,0.863014465242494,3.7360168813849,0.00018695812261469,0.0015543068162457
"ENSG00000167656.4",52.8774615130703,-1.80621973109315,0.301813298833019,-5.98455978605654,2.16975882323894e-09,1.31620699023501e-07
"ENSG00000167771.5",204.73490916316,-1.58732175501004,0.169608855379796,-9.35871981127186,8.07086235973208e-21,1.20137890402443e-17
"ENSG00000167941.2",2.48054682613617,-1.54937898013632,0.319426975464101,-4.85049510262933,1.23153674851375e-06,2.48892612224434e-05
"ENSG00000168333.12",1.18225990853562,-2.13249520350168,0.718541620391296,-2.96781027428918,0.00299929399432306,0.0146157990642522
"ENSG00000168484.11",1.62348064179318,-1.61546806676698,0.465407038526603,-3.47108645344357,0.000518357082097423,0.00354818814844967
"ENSG00000168619.14",0.743081136178206,1.67559464568835,0.493606597544584,3.39459531947809,0.00068730109955995,0.00444666117605637
"ENSG00000169213.6",448.274291745231,-1.59829338229575,0.231751930128683,-6.89656988577518,5.3273163672113e-12,8.84883253406918e-10
"ENSG00000169245.5",3250.52078234664,-1.53100471979708,0.216418454715023,-7.07427987975001,1.5022681702945e-12,2.95130876785471e-10
"ENSG00000169474.4",6.07439899919747,-1.87010606337719,0.49359219917243,-3.78876746130239,0.000151396541380605,0.00131582055794121
"ENSG00000169509.5",1.01125801304838,1.93682979216549,0.697397751979461,2.77722402555512,0.00548253763587966,0.0233398779130375
"ENSG00000169548.3",1.59728030425435,-1.95477473207691,0.508206850160416,-3.84641555197433,0.000119858415070042,0.00108661522137286
"ENSG00000170419.9",1349.71818786559,1.69303820886046,0.471777541787632,3.58863671730811,0.00033241166038102,0.00246739472191528
"ENSG00000170454.5",34.5421107990901,-1.71941618530438,0.320627980387173,-5.36265170378487,8.20090421074043e-08,2.6165819848646e-06
"ENSG00000170465.9",20.6732810349732,-1.8557651673415,0.321846219802856,-5.76599957730816,8.11752624251802e-09,3.89782258855996e-07
"ENSG00000170523.3",21.524768722053,-1.81154509332045,0.299280283819515,-6.05300513017732,1.42168338089394e-09,9.23187755157002e-08
"ENSG00000171195.9",63.5292726604906,1.65111933130625,0.459478284988597,3.59346542643953,0.000326308963689314,0.00243095467039535
"ENSG00000171199.8",243.949279112343,2.13616421704954,0.418196094399054,5.10804439749538,3.25510176904436e-07,8.22316897294745e-06
"ENSG00000171360.3",1.5301153474974,-2.41980470821083,0.520941784115945,-4.6450578202655,3.39981221928605e-06,5.7760988810715e-05
"ENSG00000171431.3",10.898460290634,-3.26845841061258,0.450111699371619,-7.26143847221818,3.82995212286401e-13,9.038219942627e-11
"ENSG00000171446.6",1.58831837881429,1.57135588617661,0.262415200325431,5.98805208016881,2.12369067961599e-09,1.29506443445704e-07
"ENSG00000171450.5",4.14585554505319,-1.59770985126656,0.356441357822818,-4.48239188916107,7.38110380813801e-06,0.0001105987266752
"ENSG00000171560.13",22.2287765940923,-1.78119110649206,0.561993067360331,-3.16941828990574,0.00152744398925632,0.00848258534541515
"ENSG00000171564.10",108.769614609393,-1.82768413917063,0.44363521702352,-4.11979046982137,3.79217090042582e-05,0.000426889465352764
"ENSG00000172232.8",81.731154675874,1.551312374192,0.239340240372751,6.48161952113015,9.0743240844758e-11,9.09830286832596e-09
"ENSG00000173237.4",5.86528145657798,-3.32610756578969,0.492278758588936,-6.7565530865553,1.41313218603071e-11,1.96730366416405e-09
"ENSG00000174015.8",9.02103857724371,-2.1618643804031,0.370703605328691,-5.83178676799283,5.48369680513068e-09,2.82596582892367e-07
"ENSG00000174343.5",59.3700953870085,-3.03816524622509,0.310996094983071,-9.7691427488518,1.52738940327022e-22,3.28405692696468e-19
"ENSG00000174502.17",15.6620596083241,-1.64247226781382,0.248936501236622,-6.59795674661869,4.16862836315364e-11,4.844872519843e-09
"ENSG00000175084.10",231.79380153018,2.06466417414011,0.234400248706624,8.80828491237759,1.27075113364271e-18,1.17096691367238e-15
"ENSG00000175868.12",4.3762685720569,-1.59862229365901,0.314563309404237,-5.08203673431177,3.7340917411356e-07,9.24020579062852e-06
"ENSG00000176076.7",13.122452308006,-1.53667140008882,0.208788903245353,-7.35992850291972,1.84008757658466e-13,4.59452060574062e-11
"ENSG00000176654.11",5.14728228223801,-1.71507664727039,0.378476787283128,-4.53152400595546,5.85596809737356e-06,9.12022846295982e-05
"ENSG00000176769.9",14.299149329719,-1.63932837480502,0.255889479383187,-6.40639223916734,1.4900333583769e-10,1.37959978554791e-08
"ENSG00000176887.6",529.630467452392,-1.7997825843109,0.2421002475956,-7.43403859428191,1.0533121587625e-13,2.77314878696777e-11
"ENSG00000177614.8",381.010561227017,-1.6710843036427,0.191006292085161,-8.74884426790319,2.15548883805497e-18,1.85381620023119e-15
"ENSG00000178445.8",414.426699273105,-1.93424940824168,0.295026282391097,-6.55619354508076,5.51985815950281e-11,6.06257791215653e-09
"ENSG00000178597.5",3.97323671999708,-2.92569619280188,0.585364878703049,-4.99807265390459,5.79061688512447e-07,1.33556885988133e-05
"ENSG00000179059.8",5.87703101288711,-2.40432243243393,0.388163012130948,-6.1941049437828,5.86171636967826e-10,4.36269513344784e-08
"ENSG00000179066.7",47.8675266940797,-1.74541257206913,0.26026843525555,-6.70620150444046,1.99755838389843e-11,2.6118075869472e-09
"ENSG00000180264.9",31.0606405604151,1.75817782752,0.338623761440453,5.19212774685683,2.07904266371877e-07,5.71065359625577e-06
"ENSG00000180772.6",2.75073083114647,2.23308359483666,0.47228017745332,4.72830260816393,2.26404583923563e-06,4.1041265606603e-05
"ENSG00000181355.19",7.62031566508435,-4.09700252365294,0.439098067172651,-9.3304954631969,1.05377143564165e-20,1.51048378156307e-17
"ENSG00000183566.9",10.3569675963091,1.84162655595444,0.491657823779711,3.74574850003728,0.000179856709550943,0.00150732229818982
"ENSG00000183571.9",5.05431458660975,-1.70631014988401,0.290759468589463,-5.86845944574631,4.3986295498616e-09,2.33519562193064e-07
"ENSG00000183654.8",23.6594851513943,1.54055660795572,0.380213116710675,4.05182393833091,5.08199020935403e-05,0.000542125647966979
"ENSG00000183674.10",5.18566382424415,-2.44600017584936,0.42253061966597,-5.78892998993313,7.08362124657174e-09,3.49681517200025e-07
"ENSG00000184697.6",16.7289514939268,-2.61936664597872,0.250408874407442,-10.4603586920675,1.31357448014245e-25,5.08379595304729e-22
"ENSG00000185149.5",61.1030703283543,1.82417145584543,0.429607454659349,4.24613548033489,2.17489152710554e-05,0.000269266320799868
"ENSG00000185559.12",80.3504810722839,-2.27763731915104,0.405815201134166,-5.61249877477616,1.99425622644875e-08,8.21956384196162e-07
"ENSG00000185686.16",984.20587883363,-2.54028328051422,0.379068891940459,-6.70137627888818,2.06465623551651e-11,2.68142032305235e-09
"ENSG00000185915.5",9.81165050476174,-1.61667932378009,0.272493627317625,-5.93290690756466,2.97617616695807e-09,1.70399961597248e-07
"ENSG00000186007.8",28.2044080157744,-1.78122967819246,0.303350150477763,-5.87186020968543,4.30932052899224e-09,2.29723585555176e-07
"ENSG00000186439.11",21.8369234079415,1.64738917948151,0.248440037894871,6.63093273306701,3.33572234036696e-11,3.97228080051944e-09
"ENSG00000186474.14",51.7457849474144,1.93574868992242,0.377549600656555,5.12713743189285,2.94180776195748e-07,7.57510605477566e-06
"ENSG00000186684.11",53.4523463512038,-1.74903262975593,0.221766909664371,-7.88680616239353,3.10018377183219e-15,1.1536856955524e-12
"ENSG00000187122.15",86.4304675997821,-1.82637103029332,0.213596775252681,-8.55055526064359,1.2249776654339e-17,8.17398027717637e-15
"ENSG00000187533.12",1.6213937528826,-2.19697638601574,0.582523745571525,-3.77147953661571,0.000162282468223157,0.00138952568256032
"ENSG00000187689.8",13.6740435767496,-2.77851066256867,0.410680852523503,-6.76562017804242,1.32739358529326e-11,1.86810225035802e-09
"ENSG00000187772.6",2.32291841308719,-3.95182184381911,0.748188634006696,-5.28185228189892,1.27884293785518e-07,3.83970359820568e-06
"ENSG00000187957.7",55.0816268580508,-2.09800081358862,0.275911967467832,-7.60387754414177,2.87387203295778e-14,8.55573810919477e-12
"ENSG00000188763.4",40.2746928792442,-2.32071504963069,0.231937026997859,-10.0057980378101,1.43728137133168e-23,3.78586561392439e-20
"ENSG00000189182.8",12.890027427868,2.40468885875325,0.463667550816716,5.18623495329267,2.14588057438855e-07,5.88171883781769e-06
"ENSG00000196196.2",217.603444133301,-1.84644889503924,0.238696240885022,-7.73555917006947,1.0294960475046e-14,3.43478931297611e-12
"ENSG00000196228.3",9.09582151181114,-2.36214834434156,0.879120601203659,-2.68694459111457,0.00721089134151131,0.028910796301582
"ENSG00000196611.4",1204.80651429766,-2.74624878158854,0.271786740438173,-10.1044251723283,5.28043240884083e-24,1.70302745905798e-20
"ENSG00000196754.9",560.820407640834,-1.62962705200865,0.238547119362235,-6.83146816597709,8.40499445662248e-12,1.2857316026095e-09
"ENSG00000197106.6",93.1737331866195,-1.95902362088481,0.205191224019479,-9.54730705587505,1.33111300089769e-21,2.51637625604224e-18
"ENSG00000197172.9",12.4938515571734,-3.91057226166477,1.00417631984641,-3.89430838427148,9.84793014047662e-05,0.000929369890994211
"ENSG00000197446.7",3.56251443050319,-1.54656599661188,0.325864221733316,-4.74604419099919,2.07433411621412e-06,3.83202286232549e-05
"ENSG00000198077.9",96.0640777379186,-2.04949260875045,0.354437243720524,-5.78238502036906,7.36489061322781e-09,3.59440096485678e-07
"ENSG00000198729.4",313.77110535143,-2.01114115766174,0.241343160920739,-8.33311849396982,7.8740283500784e-17,4.71922626263818e-14
"ENSG00000198732.9",294.196607940206,-1.66008574968065,0.224570499828783,-7.39226991499922,1.44343135217364e-13,3.69958146965723e-11
