id	filename	md5	size	state
73099153-1c5a-49d3-bfd7-cbeb9cbed478	e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.htseq.counts.gz	2865d40fc0095969801600b77ed325df	252126	validated
74596ce5-9b85-4915-803b-acda459acb5b	5f615a4b-f0c6-4313-88f3-a2a8f4a713c4.htseq.counts.gz	17f534d7f44df136ebf47e6a12308715	256206	validated
753b019e-717c-48e3-bfa1-c960122a4fe2	0b6603e7-a619-40d0-8af8-ddc7d30ffd7e.htseq.counts.gz	0ead066816d8d23ba68fac53b8049024	253101	validated
754e6f3e-9441-423b-8530-b4d95a93253f	8d54214a-1d9b-4fea-9c42-5bbb3cd11da9.htseq.counts.gz	0f2a57272e13d84d0faf1b484fcacf35	257833	validated
7560ce40-3016-4bcc-82b7-cb189036b4a9	757b49f6-849d-45d9-a182-4caa6c527fc2.htseq.counts.gz	4178aa311e1e90a6a0e75735819696ed	254322	validated
76342794-fbc2-4692-92bd-f15a69df50ae	91d53a9c-726f-4611-a284-d2b4d659fdd5.htseq.counts.gz	dc31fa99d75c5cfbfd192ca05cacf9a0	252338	validated
77398915-9023-496b-b122-8039df954a47	c32272b5-a619-4d25-bf35-71835715a159.htseq.counts.gz	fd6e0d0130022c1b8ef5ed63b5d9ecc1	255179	validated
7849ba9b-f918-4690-b8a8-b4ccb2664092	70cb5052-4284-4147-a745-d2f2b58cb481.htseq.counts.gz	f7e2c2e59937b6ea30f7d353dc03bf31	257820	validated
79772e12-1b75-4da3-80c7-be2315e360d6	84ab7d33-de05-49a8-af92-5ce869de2561.htseq.counts.gz	1150ece873b09174ff122f77f878f8d5	255031	validated
7979f251-0a5f-4425-94ae-93479aeb457c	4cb8bb61-b1d0-44d3-beb2-c6989b60aa50.htseq.counts.gz	686c4149c5a3cd864523f53f86e6e7a9	252956	validated
79a5b478-55a2-4b2c-9571-aac779b6d52b	2d21d348-762a-424f-8965-e5132ff2359c.htseq.counts.gz	441e74cc19886a97412428e4b817a308	250936	validated
7b0893da-9bfb-46c2-89c7-9b18bff50dcf	b2544700-678b-4daa-841c-bf401896da1b.htseq.counts.gz	c03c8afb5f0d09a982796c07aa2d277f	251817	validated
813cb7b0-2ef2-4a1a-88c9-ea435ca9a418	27b907cb-2b29-4301-aa21-293d97d9b695.htseq.counts.gz	3e8849c3d0714d3b38611ac9e0b42bb3	251339	validated
8190d2d6-730f-4c6e-bb32-2c822a133892	684122bd-81c6-41af-a8e3-700bb833cd11.htseq.counts.gz	42849205ec20ba6f638c9413371decf0	246704	validated
83078314-2ec8-4163-bf5a-ce2fc0928bb4	4791874c-5ef8-4fbf-8085-055a28057529.htseq.counts.gz	8747440ffe2c1a2fcf4080f83ffc3faf	263153	validated
