"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"ABCF3",9704,5352,2867,4060,3171,2880,2025,4803,3862,1171,3786,2898,2607,5461,2615,2150,1632,3265,246,2097
"ABCG1",3281,3532,1523,4677,4089,5601,1286,2333,3289,1558,2025,1927,2492,11013,1183,3600,1117,3869,1074,1615
"ABCG2",404,455,232,579,315,205,257,94,93,34,496,397,633,250,358,372,46,444,57,427
"ABCG4",15,7,14,8,29,8,10,17,10,2,31,3,13,17,12,6,3,13,1,11
"ABCG5",10,14,15,3,2,12,31,20,11,2,11,19,16,9,3,3,12,20,14,4
"ABCG8",1,6,7,0,5,0,2,1,1,0,0,5,2,1,0,1,2,0,1,1
"ABHD1",84,126,118,35,95,220,99,145,140,60,138,111,298,167,114,119,139,115,125,56
"ABHD10",4001,2484,1979,1242,1830,1528,2749,2001,1746,843,1553,1920,3064,2894,1187,2409,998,1237,389,877
"ABHD11",1980,4523,2987,3776,2223,2847,3301,4346,4386,1225,2334,8117,2314,3284,2002,1553,7129,2584,358,1244
"ABHD11-AS1",189,37,48,40,151,127,26,74,177,26,59,135,29,128,40,226,89,71,14,3
"ABHD12",16711,6905,6757,3238,5030,3331,7490,4047,7620,1978,4733,8707,3485,4499,1944,2073,3671,3770,756,2114
"ABHD12B",11,460,15,26,430,37,368,59,43,7,40,20,41,11,16,9,43,68,127,25
"ABHD13",969,1780,349,1267,1522,1178,1871,1497,1362,522,1357,409,2863,1636,885,1009,471,921,272,881
"ABHD14A",799,1191,2436,373,805,592,961,1147,833,326,744,1110,1085,1354,527,340,640,664,91,385
"ABHD14A-ACY1",11,21,14,25,19,19,6,23,20,5,16,9,2,14,29,20,0,9,0,1
"ABHD14B",2890,7541,5441,3124,5444,3591,5830,7372,6727,1745,4714,4846,5708,7870,3324,6051,3578,3204,1921,3305
"ABHD15",2191,2082,742,805,2396,1002,1332,1510,974,467,1437,812,1529,1898,800,1086,353,2174,218,1241
"ABHD15-AS1",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2
"ABHD16A",564,473,255,582,497,426,471,654,732,121,568,126,494,469,382,264,110,373,182,211
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",3439,3270,2005,1675,4350,2440,1035,2620,4140,1020,3266,3806,1052,1901,1877,912,734,1003,190,977
"ABHD17AP1",14,6,3,3,7,5,1,3,6,2,4,9,4,6,1,9,2,2,4,1
"ABHD17AP3",6,1,0,0,3,1,2,0,1,0,4,7,0,0,0,1,0,0,7,1
"ABHD17AP4",0,1,1,0,0,2,0,2,1,1,2,0,0,4,1,1,1,2,0,0
"ABHD17AP5",9,6,1,2,3,6,0,2,3,3,0,2,1,2,2,1,1,1,1,1
"ABHD17AP6",1,2,2,2,2,8,0,0,1,0,8,1,0,2,0,1,1,0,0,1
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",1392,1105,183,1122,923,866,1134,848,836,251,939,380,1214,850,655,992,326,522,104,447
"ABHD17C",2980,1311,533,3102,968,1442,2961,871,3662,487,976,1534,2119,2566,1144,980,498,1278,396,949
"ABHD18",1013,1336,403,736,848,767,1422,901,712,335,1008,440,858,1173,712,914,324,727,456,395
"ABHD2",14278,14144,3522,6347,10263,4540,6967,6629,6834,1065,12204,3733,8093,8466,8325,21012,1193,17706,6194,5790
"ABHD3",1104,6734,1589,560,2282,1017,9402,1549,1856,589,1250,572,1351,4935,1884,8064,618,925,426,1169
"ABHD4",9539,2653,2022,1921,2525,1872,2593,3260,3089,576,2698,1348,3072,3363,1673,1106,1401,2401,474,2091
"ABHD5",1132,1214,559,1197,846,922,1735,1170,1090,243,1260,306,2114,1709,691,746,262,1003,293,551
"ABHD6",452,667,161,256,751,415,247,416,444,75,871,154,666,351,251,422,114,520,95,393
"ABHD8",1276,1568,1123,1500,875,1251,296,1568,1431,351,1560,1372,748,1016,753,222,297,1331,48,470
"ABI1",5382,6228,1874,4303,5205,3216,5678,4398,4302,1575,4280,2351,6854,5919,2994,3601,2106,5455,1324,2482
"ABI1P1",1,0,2,1,0,1,2,0,0,0,0,0,0,3,0,0,2,1,15,0
"ABI2",3897,5417,2716,4280,3016,3032,6632,4971,3272,900,4392,2474,4882,5746,3058,4434,1374,4237,3295,2301
"ABI3",977,1476,823,762,2161,497,353,764,661,509,1424,584,943,758,571,377,216,1270,98,537
"ABI3BP",1117,3460,145,3083,9774,1146,562,1112,430,2388,11371,288,6661,941,2849,1161,338,2163,3474,1482
"ABL1",11231,13064,2994,7069,7820,6517,5089,7519,8972,1844,12467,3248,5711,9258,5596,4055,2827,6561,1280,4197
"ABL2",6624,5573,1219,3324,3224,2025,6393,2105,3181,563,7183,1529,4738,5350,1564,3246,2205,3214,3103,2157
"ABLIM1",3987,12768,4366,6450,7184,3435,7294,9843,5604,2031,10406,5335,5271,12430,6039,2966,1826,7423,4948,4083
"ABLIM2",461,788,307,212,613,251,67,297,242,83,512,334,258,315,250,294,83,550,81,181
"ABLIM3",2418,3811,5978,4722,3673,3239,1278,3898,5285,564,4491,727,4087,4063,1976,303,167,2521,534,1859
"ABO",146,1557,69,1975,575,90,117,782,47,15,766,72,321,946,454,862,39,445,1159,263
"ABR",6068,13237,4161,5108,9537,4457,1804,9730,6273,1918,10968,2558,4446,7443,5231,4143,1785,5821,1422,3366
"ABRA",4,0,0,0,0,1,3,1,0,0,3,0,0,2,0,0,0,2,4,1
"ABRACL",2010,1281,1308,1135,2369,1690,3049,1981,2585,1340,1569,2069,3129,1886,801,1824,1080,915,124,813
"ABRAXAS1",433,828,348,387,595,360,695,538,303,196,637,318,614,841,430,1272,81,517,439,317
"ABRAXAS2",1491,2316,709,1083,1433,1290,2209,1509,1289,502,1358,938,2696,2462,902,1610,600,1576,442,875
"ABT1",2478,1555,1212,1674,1968,1449,1305,2268,2755,836,1784,2224,1820,2399,1218,770,1067,1398,202,943
"ABT1P1",2,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,9,0
"ABTB1",4221,4486,2655,1662,3864,3411,941,3314,1811,1501,3778,3692,1160,2109,2229,1117,632,2344,183,1063
"ABTB2",209,302,32,429,418,708,196,300,358,87,386,891,528,229,467,178,120,282,110,235
"AC000032.1",0,0,14,0,5,0,0,0,0,8,0,0,0,0,1,2,0,11,0,0
"AC000036.1",4,7,3,0,5,2,4,4,0,1,6,1,6,3,7,7,0,2,45,1
"AC000041.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AC000058.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"AC000061.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC000067.1",9,1,3,1,1,1,6,0,1,0,0,11,3,1,2,2,0,2,0,4
"AC000068.1",30,81,53,37,13,42,35,56,32,16,45,29,23,69,31,50,4,41,21,23
"AC000068.2",25,8,17,9,8,12,21,29,7,8,10,30,9,10,6,13,6,8,7,8
"AC000068.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
