"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"INTS9",962,1503,940,913,1407,605,1997,1494,2055,447,1226,892,1213,2297,688,456,427,1005,373,808
"INTS9-AS1",1,0,0,0,5,0,4,0,4,0,3,2,0,3,0,2,0,0,6,1
"INTU",2417,1829,951,795,644,1081,2336,1896,1018,271,1721,721,1001,1913,1081,818,440,862,1220,729
"INVS",1321,1208,294,495,656,454,499,570,422,265,902,419,611,358,457,514,179,700,600,347
"IP6K1",4661,6587,2221,3209,3595,3980,3085,5409,3481,958,4836,2592,4156,6962,3444,2971,1332,4431,622,2741
"IP6K2",3574,5424,3372,3725,4431,4982,6353,8906,5994,2485,5056,4516,4194,6987,4274,3446,3003,3412,1212,2861
"IP6K3",29,9,5,2,6,3,1,21,2,1,9,89,1,5,3,0,0,1071,19,2
"IPCEF1",76,412,36,206,644,37,120,133,60,665,239,40,567,93,111,63,29,299,96,149
"IPMK",982,1714,166,736,942,536,993,705,532,264,799,257,1446,1120,534,708,191,644,255,551
"IPMKP1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"IPO11",2531,2551,1158,1585,1622,1380,2827,1682,2052,377,1743,1818,2989,2232,1327,1781,476,2156,629,1056
"IPO13",5938,3025,1245,2252,2272,2105,2214,3788,1735,741,2944,1718,3518,3322,2016,1805,630,2741,379,1628
"IPO4",745,455,403,561,327,325,608,536,926,161,320,1040,887,644,271,307,608,378,41,223
"IPO5",6154,11523,3062,7128,7514,5787,10034,8357,6927,3059,7541,3830,12811,12670,5060,9579,2892,5233,2066,4489
"IPO5P1",374,673,549,286,373,612,615,744,337,187,442,505,238,409,464,252,131,370,298,192
"IPO7",16353,11731,4781,10256,6600,7241,16530,8517,8048,2586,10139,4631,15749,13073,5942,17938,2938,8182,2667,4990
"IPO7P1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"IPO7P2",0,2,0,4,0,2,2,0,2,0,4,0,3,3,0,6,0,1,18,1
"IPO8",4379,5210,1693,2700,3029,2456,3009,3505,2704,965,4739,2368,6134,5473,2533,2868,811,3606,1022,2164
"IPO8P1",30,23,2,9,2,9,148,2,6,0,6,1,6,5,3,6,0,40,6,8
"IPO9",12761,9804,4901,3548,5122,3464,18731,4747,7544,1473,6103,3133,7366,10690,3659,4769,3234,7502,4009,3918
"IPO9-AS1",16,6,8,14,19,3,16,21,16,8,14,25,4,13,16,3,7,22,36,9
"IPP",1793,1139,610,850,530,754,1344,1123,439,228,1041,347,942,1284,722,1191,161,950,416,471
"IPPK",569,777,238,754,356,329,301,502,449,107,413,105,186,233,312,383,59,575,113,199
"IPPKP1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"IQANK1",4560,4278,1232,1245,745,1202,3153,2002,3964,1136,1249,3069,2396,3832,781,1127,853,2753,668,1633
"IQCA1",53,1285,53,616,357,97,398,1023,844,12,379,21,782,839,285,53,131,508,54,459
"IQCA1-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCA1L",0,0,0,0,0,0,0,0,0,1,1,0,0,0,35,0,1,0,0,0
"IQCB1",2293,2245,905,2226,1458,1506,2676,1873,1693,785,1666,527,1672,1428,1097,1088,555,1058,397,703
"IQCB2P",3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"IQCC",504,849,519,398,228,228,567,599,359,185,372,469,199,704,327,296,120,473,358,252
"IQCD",246,312,364,118,107,271,278,334,680,57,133,454,93,236,109,88,57,338,63,92
"IQCE",4893,7161,2926,2276,2919,3414,2426,5323,4180,815,3943,3813,1943,6252,2552,2143,2117,2396,1265,2428
"IQCF1",0,0,0,1,2,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0
"IQCF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"IQCF4",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"IQCF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"IQCF6",0,1,0,0,2,1,0,0,1,0,0,0,0,3,2,0,0,0,0,2
"IQCG",1838,1667,1215,1237,815,643,2417,1131,1647,351,997,636,797,1046,499,393,326,1177,634,629
"IQCH",295,428,207,247,89,260,602,572,362,79,225,93,171,331,233,267,56,216,353,151
"IQCH-AS1",484,741,682,390,331,288,768,899,490,311,603,261,563,746,393,501,129,486,214,333
"IQCJ",0,20,9,0,9,0,19,6,0,0,3,0,6,1,0,0,0,0,78,2
"IQCJ-SCHIP1-AS1",1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,51,0
"IQCK",1220,1083,786,799,703,649,2915,1317,993,470,690,268,710,1608,569,534,244,1208,431,741
"IQCM",0,0,0,4,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,1
"IQCN",894,938,638,544,677,391,629,2636,999,195,1426,422,474,594,1672,353,243,1407,403,327
"IQGAP1",24959,22536,8689,15943,22641,10886,38245,17035,20960,5873,24763,4145,28819,29891,17192,38144,3693,23187,10316,13419
"IQGAP2",7210,9809,3433,4710,5731,750,4378,6346,4676,875,4849,1034,4448,7099,3882,1196,1594,2126,1235,1375
"IQGAP3",3886,2109,2185,598,1362,482,5062,116,2824,753,1575,1174,1353,2510,364,818,95,2483,1511,658
"IQSEC1",8342,11325,2270,3781,6349,3237,3634,5602,3837,1653,6738,2163,5437,5279,3245,2702,1643,4340,1874,2893
"IQSEC2",2803,4711,1281,1282,1730,1268,1190,1641,1816,420,2023,968,1510,1685,961,2921,680,1464,337,841
"IQSEC3",36,144,8,102,373,197,33,60,130,34,830,18,89,43,74,42,20,91,46,95
"IQSEC3P1",2,5,1,3,1,0,0,0,0,0,9,0,1,1,1,2,0,0,0,2
"IQUB",19,28,87,88,32,69,94,184,140,10,60,19,24,42,74,12,26,25,87,27
"IRAIN",29,13,7,9,2,5,6,33,0,0,20,2,4,16,17,44,1,1,3,7
"IRAK1",8402,12392,1974,8533,8106,6310,1964,7909,9652,1776,9307,7226,3392,6164,5069,4710,1829,6542,361,2531
"IRAK1BP1",607,433,387,176,201,370,577,592,477,59,375,392,562,741,354,387,149,473,359,247
"IRAK2",257,608,97,571,612,143,186,98,276,118,490,57,439,209,230,200,89,510,46,168
"IRAK3",360,1196,234,821,2115,389,3612,644,183,268,1939,107,1745,352,1058,334,131,721,463,381
"IRAK4",1633,2687,1066,1439,2443,1100,2055,1973,1301,1005,1984,887,2226,1818,1278,1730,940,1448,537,894
"IREB2",4408,4211,928,2785,3515,2003,5190,3216,2896,1068,3888,950,5003,4442,2771,3802,500,3154,1369,1750
"IRF1",2282,7831,2383,9345,7527,2842,5332,1944,9906,3777,4245,2446,4105,6251,2112,2012,2543,6281,1024,3539
"IRF2",3399,5129,1793,1871,3605,1879,3126,3355,2217,1545,2858,822,3963,4140,2185,3220,563,2787,1223,1781
"IRF2BP1",2829,2335,2044,2018,1921,2779,1163,3869,4374,656,2414,3435,1338,2880,1798,1076,1467,1315,181,1024
"IRF2BP2",30762,20735,12645,8588,13063,8898,33464,16785,19808,3059,12634,5408,21881,21655,8788,13092,7248,11138,3469,7624
"IRF2BPL",12501,5371,2852,5268,6124,7292,4788,6739,12078,1079,5210,4184,5319,5204,3846,4244,1599,2970,1430,2089
"IRF3",5028,3346,3976,3372,5222,2827,1523,4940,4498,2041,4688,5292,1389,2988,2904,2005,2609,2510,294,1511
"IRF4",43,804,4,768,2277,71,67,40,179,744,470,109,1241,353,240,90,25,260,256,223
"IRF5",902,2258,1069,812,2504,775,306,640,688,599,2056,652,1435,612,465,284,340,1554,119,613
"IRF5P1",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"IRF6",19147,16767,11224,6430,6774,5885,38908,15211,22302,754,5936,3866,5104,20229,5479,6177,6156,6761,5208,5626
"IRF7",2712,10407,2873,3378,4136,1873,2639,1655,3529,1469,1861,4354,1078,2465,1306,1732,2512,2832,113,1362
"IRF8",515,3693,365,2461,9082,762,409,688,669,2710,2751,473,2906,808,843,616,99,2370,261,819
"IRF9",315,1881,208,716,598,261,562,242,368,828,418,329,218,320,330,204,170,701,255,153
"IRGC",2,1,0,0,0,4,1,2,1,0,3,2,0,0,2,0,1,1,0,0
"IRGM",1,13,1,1,20,1,5,3,0,8,6,3,9,1,0,1,0,4,8,1
"IRGQ",3045,2489,1092,2169,2213,2733,3568,2564,4071,540,2608,3378,2343,3359,1579,1389,685,1555,1779,1240
"IRS1",19401,3137,3947,8209,2997,12112,6898,15350,4032,1284,12361,1559,2721,4273,5397,1755,1148,11252,1283,3958
"IRS2",1717,2858,294,3028,2726,5436,2297,3368,624,1420,2927,851,1498,1178,1433,11281,521,1776,674,931
"IRS3P",2,5,0,0,8,7,1,4,7,4,5,11,5,0,0,0,6,2,3,1
"IRS4",1,6,0,7,0,1,0,2,0,1,4,0,0,4,3,0,0,7,1,1
"IRX1",121,190,60,681,194,161,77,3200,82,13,794,102,32,447,878,19,64,442,13,423
"IRX1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"IRX2",400,1734,12760,2094,1381,640,471,8922,5873,257,2778,463,1915,11452,3058,202,1955,1262,3245,491
"IRX3",9500,7547,3700,3426,1705,5409,6737,13979,5636,1900,5838,9823,6124,6178,5847,3244,1939,3742,1007,1812
"IRX4",71,108,13,307,33,41,22,708,72,4,233,72,69,136,326,5,16,85,6,151
"IRX5",16290,3955,1385,1468,1000,3588,6971,5311,3126,1577,2041,4851,5386,2523,2455,1879,901,2700,600,1384
"IRX6",115,180,5,27,391,154,9,36,52,2,107,38,54,65,43,12,7,73,7,27
"ISCA1",3336,2926,1206,1977,2034,2120,3384,2670,1795,603,1985,1750,3363,1538,1354,1471,657,2062,512,1188
"ISCA1P1",2,5,3,1,1,2,4,1,7,0,1,2,2,1,2,1,0,0,1,0
"ISCA1P2",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"ISCA1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ISCA1P4",3,3,4,0,2,1,0,3,2,2,4,0,0,2,1,1,0,1,0,5
"ISCA1P6",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ISCA2",1723,1065,652,728,1023,716,1083,1407,1714,378,888,1612,894,1305,686,578,613,873,123,610
"ISCA2P1",5,12,1,4,0,3,0,3,2,0,1,3,0,4,3,0,0,2,0,1
"ISCU",4590,6705,3580,3027,7895,5937,4457,6046,6137,2775,6378,3390,7473,6345,3574,2724,2477,4117,484,2934
"ISCUP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISG15",2518,25100,1444,5374,2026,841,1467,532,2638,2232,1300,12672,756,1485,590,499,951,23489,16,1258
"ISG20",1560,2434,803,1597,1674,2364,1140,675,1365,1721,775,1115,466,706,345,348,387,1653,709,302
"ISG20L2",6992,5483,2923,4189,3970,2812,5048,3960,6377,851,3473,2501,4241,7009,1944,3815,2173,4664,2076,2079
"ISL1",8,42,0,6,1,0,0,0,2,0,9,7,0,1,1,4,13,1,2,16
"ISL2",2,3,0,2,5,3,0,0,4,4,1,1,2,3,1,1,0,3,4,1
"ISLR",13620,9612,378,6149,18517,8469,5717,7631,17508,1747,24403,10764,17853,10421,6284,3132,10089,5845,865,10999
"ISLR2",301,168,69,154,346,215,37,177,403,7,224,159,252,102,185,91,30,256,27,117
"ISM1",147,531,204,1094,406,550,312,2076,464,30,2281,187,580,678,1464,266,396,1036,215,429
"ISM1-AS1",22,2,4,2,2,1,12,3,2,0,10,2,2,4,6,3,3,2,14,0
"ISM2",5,9,3,6,6,1,2,7,0,1,6,21,1,9,5,3,3,9,0,2
"ISOC1",3771,1353,353,2197,1488,1697,11294,3471,1268,1343,1521,3014,3166,2952,1101,7642,701,1386,921,502
"ISOC2",4504,3285,2352,2644,3486,2340,1203,3273,5109,973,2643,7990,2014,2438,1437,1180,1073,1737,123,1440
"ISPD",205,168,118,79,114,173,256,197,103,34,173,82,162,159,132,87,27,96,111,130
"ISPD-AS1",0,4,3,2,2,2,1,1,2,0,4,1,3,6,1,2,0,3,27,3
"IST1",12764,9173,4010,5135,8960,5577,6264,11517,6575,3114,8868,5723,8538,9439,5865,4811,2893,6098,1125,4619
"ISX",0,5,1,0,1,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0
"ISX-AS1",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"ISY1",1744,1398,958,899,1633,1339,1006,1824,1461,681,1301,1620,1343,1571,875,581,1048,993,161,697
"ISY1-RAB43",1,4,2,2,4,2,1,2,0,0,0,1,0,3,4,1,0,4,0,2
"ISYNA1",3748,4256,6633,15741,1765,1404,5145,7159,2067,3651,4077,6341,2164,3651,3467,1928,1187,5370,114,1966
"ITCH",5987,5048,1524,2934,3768,2839,5979,3114,2716,1121,3699,1712,5723,4463,2382,3682,922,5032,2462,1945
"ITCH-AS1",0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,8,1
"ITCH-IT1",6,3,0,0,0,0,2,1,0,0,0,8,0,1,0,1,0,2,30,0
"ITFG1",8079,3963,1002,2179,2988,2448,3774,5342,2393,595,3462,1886,4603,2941,2161,2118,459,2496,807,1975
"ITFG1-AS1",17,9,4,7,5,2,20,13,5,4,10,11,3,7,7,4,1,6,1,3
"ITFG2",1577,2182,1032,1110,1739,1199,1325,1833,1922,626,1689,1095,1429,2826,1359,1332,852,1046,709,780
"ITFG2-AS1",2,4,2,0,0,3,3,1,0,0,2,0,0,1,5,1,1,3,28,3
"ITGA1",8270,5235,1478,2327,4097,3043,3435,2219,1885,941,4034,1098,5083,1972,1781,3536,732,4275,2368,2665
"ITGA10",710,585,212,699,353,166,380,1118,300,60,1013,71,610,354,574,222,162,741,147,260
"ITGA11",7122,5177,126,1477,3779,1342,2170,6125,6147,269,1788,849,6202,5317,794,1047,3483,1652,1726,9946
"ITGA2",1425,2878,528,2034,1552,1613,5179,4175,748,303,2983,124,1292,2578,2114,3073,1158,3858,4146,2173
"ITGA2B",240,79,73,90,83,25,85,37,144,15,165,203,43,46,21,10,16,228,17,28
"ITGA3",15694,12109,3722,6411,3142,6756,6092,18269,3224,2064,13743,2264,5319,8409,5415,3989,873,12623,895,5061
"ITGA4",812,2178,120,999,2110,211,562,124,210,699,1079,36,1534,416,415,589,45,1824,360,546
"ITGA5",14291,8316,2550,7169,14193,5873,7048,2774,11933,1297,17560,1440,11082,6836,3783,4019,5341,6677,1299,5256
"ITGA6",17147,6191,5227,4245,8763,5023,12355,6803,4426,1463,6881,1838,7611,6214,6497,6638,1847,8031,1624,4599
"ITGA6-AS1",11,9,8,7,23,8,8,4,4,25,11,12,33,5,7,1,2,3,31,5
"ITGA7",1969,3393,489,1322,7962,4249,243,1436,1138,87,3638,964,945,542,1728,475,368,1251,340,735
"ITGA8",352,541,114,653,387,445,238,84,380,79,617,188,862,376,365,487,120,388,320,292
"ITGA9",1104,2618,440,1665,1736,695,680,1781,486,122,2209,826,2017,887,1107,495,268,1696,563,999
"ITGA9-AS1",66,637,135,262,117,110,130,392,233,38,231,109,86,432,197,78,325,178,302,134
"ITGAD",46,115,7,82,125,60,17,18,44,79,532,57,47,21,27,58,2,47,26,31
"ITGAE",522,834,549,556,1289,934,481,668,1099,619,2202,845,1386,1050,463,225,389,559,110,436
"ITGAL",817,5518,271,2270,8294,665,1478,959,1050,4124,3173,777,3951,1202,1009,454,249,3389,717,1610
"ITGAM",526,2779,556,5167,8367,577,1443,416,1494,623,3893,320,1438,2096,726,1021,344,2382,478,1144
"ITGAV",19378,9144,3422,9348,11000,6077,23474,6096,7964,1581,16693,2410,15834,11062,7620,18230,2070,6783,3483,7652
"ITGAX",909,2447,1075,3976,10555,1250,1274,1170,2003,2925,11107,546,2803,714,734,401,1349,1812,660,1142
"ITGB1",30329,23694,3433,15403,21087,14036,17629,18938,17016,1933,25103,2737,22933,20135,11285,17719,2178,23831,8103,14666
"ITGB1-DT",5,6,5,5,11,3,4,7,14,2,10,4,1,7,7,5,8,5,13,0
"ITGB1BP1",3478,2644,1130,1968,5424,3507,2414,1880,2361,798,3919,3453,4638,2455,1476,1666,1839,1728,567,1353
"ITGB1BP2",28,20,19,14,54,43,53,31,78,22,35,49,53,28,24,19,32,21,205,13
"ITGB2",2776,9085,2373,17458,44435,4819,1686,2759,3267,7068,37913,1500,6902,3078,2400,1833,1138,7433,651,4284
"ITGB2-AS1",28,300,93,234,1725,91,76,116,71,878,268,43,123,78,124,127,47,87,28,48
"ITGB3",255,187,43,276,274,94,157,157,134,10,671,14,288,200,98,189,13,279,142,163
"ITGB3BP",1050,567,1483,770,801,689,2630,1238,667,579,779,824,912,1267,396,734,219,609,393,530
"ITGB4",8273,13242,10326,7914,5536,10382,3478,25279,7862,1374,11683,898,3504,11126,10623,9634,1858,12841,841,8940
"ITGB5",32186,37263,13970,13895,18374,31723,13676,15856,22473,2941,26270,8090,14953,26558,11268,11140,11877,13899,2322,15652
"ITGB5-AS1",9,22,1,2,0,3,13,1,2,1,0,4,2,6,3,4,0,6,176,3
"ITGB6",831,2953,2318,2793,6275,3773,6910,4980,8432,222,2951,254,2172,6760,2621,18642,5377,948,3456,1892
"ITGB7",135,624,36,322,803,40,88,40,91,374,205,38,368,133,148,74,10,337,63,121
"ITGB8",292,1852,231,1334,1090,2928,5997,2267,803,367,3595,63,913,6631,1401,168,207,1781,746,1895
"ITGBL1",2035,2144,67,1232,1848,538,535,703,1990,119,1472,283,2479,1245,2063,540,551,1504,393,4460
"ITIH1",1,21,207,11,55,6,0,17,27,39,5,7,2,1,6,0,3,2,3,6
"ITIH2",17,101,138,56,24,18,71,147,11,31,219,15,22,37,29,11,17,19,53,64
"ITIH3",54,186,186,104,143,85,46,157,85,54,123,88,76,54,186,21,44,98,60,81
"ITIH4",28,71,62,32,56,28,53,58,40,56,62,21,20,9,40,14,52,46,37,17
"ITIH4-AS1",1,4,0,2,2,1,0,1,1,2,2,0,2,0,1,1,0,3,0,0
"ITIH5",1952,4478,313,1496,6615,5755,617,2812,677,421,10856,832,1122,1030,1886,391,189,1150,228,673
"ITIH6",533,779,335,406,34,181,335,713,298,31,279,118,350,317,175,212,11,275,394,96
"ITK",63,1240,12,1014,2529,106,216,139,111,2194,641,74,1130,226,234,150,61,698,166,277
"ITLN1",1,1,1,12,5,0,8,7,0,0,3,1,4,1,0,0,1,1,0,0
"ITLN2",5,1,0,0,0,0,3,0,3,0,0,2,4,2,0,0,0,1,0,0
"ITM2A",1573,2038,350,2187,3636,1748,506,1798,503,1570,2672,654,5037,1067,2108,571,188,2351,157,1115
"ITM2B",27325,49319,17578,23457,43513,27583,40998,35542,23750,12274,31458,9346,61185,35951,21535,24096,13923,23886,3258,23294
"ITM2BP1",1,3,0,0,1,0,4,1,1,0,2,0,1,0,5,2,0,4,22,0
"ITM2C",2280,4439,624,3837,5631,1378,637,5078,2273,2463,4147,2694,3102,3095,1875,764,778,2408,303,2557
"ITPA",5854,2911,1631,2200,3393,3118,2739,3783,5094,1091,3331,7521,1574,3498,1489,1528,2134,2037,239,1387
"ITPK1",17166,6000,3576,3034,6710,6450,4756,4703,11676,1793,4903,6947,3758,5038,2544,3987,4894,8902,598,2438
"ITPK1-AS1",3,2,1,0,4,1,7,1,0,0,3,17,1,6,0,1,0,5,162,0
"ITPKA",51,151,298,16,27,65,14,18,206,117,43,165,14,92,5,91,69,74,0,42
"ITPKB",5794,8526,638,3957,6458,2560,4196,4203,3897,1362,6120,2341,4897,6204,3270,2870,2760,2857,1218,2218
"ITPKB-AS1",0,1,0,1,1,0,1,0,0,0,0,1,2,1,1,1,0,0,50,1
"ITPKB-IT1",0,5,0,1,7,2,2,1,1,6,1,1,5,2,0,1,0,2,41,2
"ITPKC",4818,5083,1851,9422,2573,2497,1240,4805,4740,628,3676,3756,986,3219,2067,2007,1980,2708,230,1454
"ITPR1",5875,10570,2972,6518,3032,6245,13185,14447,1557,1081,6439,1945,4757,3783,5306,24645,532,9216,4467,1834
"ITPR1-DT",46,39,37,21,13,37,33,68,17,4,57,22,28,37,25,28,11,19,15,12
"ITPR2",1629,26568,2410,15469,4013,2587,16129,4924,2483,1861,12948,4731,4038,3678,3778,9650,474,8871,7626,2773
"ITPR3",7947,7439,1825,4061,4999,2287,3263,4831,4371,2544,5403,1401,3519,6552,3997,7393,390,5717,1289,2484
"ITPRID1",2,8,12,37,1,1,20,154,3,3,24,0,0,22,53,1,0,58,18,13
"ITPRID2",65127,8643,8650,10869,5651,4536,9753,5421,2065,1320,6791,872,6419,6520,6792,5028,716,18631,2217,6700
"ITPRIP",2536,2174,521,3596,5088,1379,2067,1788,3005,635,5589,360,3897,1416,1738,852,2070,2600,710,1487
"ITPRIPL1",78,162,23,238,521,97,80,311,36,122,570,42,173,156,428,44,23,218,37,102
"ITPRIPL2",3294,7873,1423,8071,3607,3082,4960,6802,5003,380,4678,1566,5406,4968,2161,4632,608,6632,3828,2646
"ITSN1",3614,5154,572,1870,4474,3043,4334,1804,2560,379,6172,1062,2528,3060,2131,1469,697,2334,1668,1809
"ITSN2",5150,5450,1421,2465,3978,2089,3261,2321,2443,1627,3612,878,4481,3835,2260,3899,1138,3649,2007,1772
"IVD",6080,6833,5530,6920,4871,5321,3798,11338,7845,1954,4934,3617,6550,6425,5021,4450,1389,6342,455,3196
"IVL",18,2,4,2,0,0,3,0,38,3,0,0,32,2,13,0,9,0,1,4
"IVNS1ABP",6074,8400,3444,8622,8158,4023,18933,4834,6223,1859,8781,3699,8264,7443,3415,5717,2672,5867,1219,4135
"IWS1",5838,4319,1949,2689,3700,2941,3462,3705,3636,1050,3192,2223,3402,4418,1935,2835,1492,3483,801,1961
"IYD",99,84,5,347,37,2835,6,56,31,1,8,6,453,6,6,68,29,11,21,5
"IZUMO1",11,6,7,8,23,22,2,37,11,13,42,60,10,4,5,3,3,4,28,6
"IZUMO1R",2,1,3,2,14,0,0,2,0,1,2,1,3,1,3,0,0,0,0,2
"IZUMO2",1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,3,1
"IZUMO3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IZUMO4",70,307,261,95,228,107,147,143,189,129,127,211,40,94,99,63,174,73,1,45
"JADE1",1864,2383,1907,1645,2188,1694,2112,3757,1604,1034,2250,2057,3678,3373,1824,1655,1456,2149,491,1336
"JADE2",2600,11353,6297,2523,4617,2803,2961,6229,3586,1574,4549,1855,4574,7050,3875,5689,878,6802,1561,1968
"JADE3",2147,5438,161,2041,836,1609,7339,3295,1931,690,1255,1065,2259,5384,1644,3393,624,919,1402,509
"JADRR",1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
"JAG1",26965,5873,2484,4829,6692,5326,6487,5223,4092,837,7018,2486,7735,5382,5027,6533,980,5309,2299,5094
"JAG2",7948,3721,2539,2028,3470,2379,1033,4824,2952,1045,3630,2346,1332,2678,4028,1905,1173,2051,110,1789
"JAGN1",2600,2970,1475,1492,1895,1985,2008,2718,3445,752,1700,2821,3385,2609,1212,1393,1655,1999,273,1297
"JAK1",15897,15342,4423,11154,15060,8262,17389,12133,10159,4944,14101,2547,14068,16353,9141,13904,2437,18021,4391,8370
"JAK2",667,2637,920,1146,2396,729,2396,2340,877,1042,1676,322,2000,1201,1014,1468,662,1560,552,909
"JAK3",542,2066,128,1228,6429,603,379,643,456,3026,1823,428,1869,773,601,347,362,1295,401,811
"JAKMIP1",20,208,0,71,275,24,233,16,15,158,31,22,115,35,91,15,83,102,14,47
"JAKMIP2",20,40,4,90,95,12,133,13,32,76,23,14,157,66,13,20,3,77,36,84
"JAKMIP2-AS1",0,0,1,0,0,0,1,0,3,0,1,0,1,0,0,0,1,1,5,1
"JAKMIP3",57,1190,200,79,178,25,111,258,197,11,263,33,84,364,302,219,16,110,27,112
"JAM2",2134,2189,418,1417,3256,1209,864,862,563,300,2265,487,2787,998,1391,759,373,1580,636,1358
"JAM3",1942,1972,463,1732,2743,1301,1508,2319,1581,356,3506,833,3012,1625,1677,1000,933,1729,527,1836
"JAML",143,1387,146,2088,6174,439,175,418,217,974,2500,351,854,423,442,241,178,935,390,542
"JARID2",5830,3764,1212,1560,2373,1621,3362,2401,2427,725,2297,1287,2008,3113,1732,4282,695,3318,1586,1101
"JARID2-AS1",4,8,7,5,6,6,11,14,1,7,5,12,0,1,4,3,8,3,83,0
"JAZF1",1867,2094,524,753,2154,791,673,587,822,456,1474,241,3345,559,593,540,414,787,275,1332
"JAZF1-AS1",10,7,3,2,11,4,5,7,3,2,13,3,1,4,6,3,0,4,2,6
"JCAD",5850,4285,815,2015,5700,1871,1983,642,2748,400,4328,893,5209,1946,2154,3086,915,4677,1438,2915
"JCHAIN",2214,22832,227,45242,8788,1095,964,3850,8686,9131,9649,6204,11188,12962,16264,4933,1298,4836,2864,7142
"JDP2",727,1992,1868,3465,3584,1569,620,2638,3729,428,3800,2018,1095,2700,1131,2016,1109,1497,355,1122
"JHY",554,1063,38,520,466,301,575,638,567,80,551,42,375,463,294,116,184,553,503,232
"JKAMP",5203,2203,1880,1729,2477,2601,4215,2825,2520,766,2332,2000,4633,3568,1697,2498,1307,2750,413,1706
"JKAMPP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JMJD1C",3055,6564,1956,7668,4301,2382,6147,4076,3753,1333,5891,576,6010,4741,3214,3037,1471,5191,6639,2944
"JMJD1C-AS1",18,26,22,28,25,16,4,52,37,3,41,63,18,6,33,9,32,20,115,21
"JMJD4",2149,1756,962,985,950,1256,1116,1508,1930,373,1125,2634,530,1953,801,723,1045,1492,147,757
"JMJD6",2135,1450,681,2030,1802,1232,901,1474,2187,497,2067,1992,1406,1056,1041,621,635,1720,178,826
"JMJD7",19,32,7,19,17,4,16,4,12,2,22,2,3,9,27,20,1,17,19,8
"JMJD7-PLA2G4B",543,771,454,523,563,262,256,710,341,203,967,86,189,337,676,512,51,245,103,157
"JMJD8",4968,4906,1827,2770,3320,3471,4566,5226,4881,1157,3094,3950,1921,5237,2696,1440,2401,3383,419,2429
"JMY",2872,3072,1304,1267,1680,977,2598,2099,1273,504,2210,1131,1802,2380,1493,1812,462,1646,910,964
"JOSD1",5332,5295,1938,6686,5508,3062,6843,4627,3637,1103,5460,1734,4311,5811,3185,3050,1258,4451,972,2171
"JOSD2",2105,1479,422,714,1751,1689,344,1300,2316,338,1733,5186,523,807,675,499,368,592,33,613
