"","gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21920","ENSG00000259674.1","AC092868.1",4.358652,-0.2172209,0.2550794,-0.8515813,0.3944465,0.5696717
"21921","ENSG00000259675.1","AC018618.1",5.231313,-0.5634816,0.2643143,-2.131862,0.03301818,0.09531635
"21922","ENSG00000259676.1","AC103982.1",1.273936,-0.3481146,0.3203796,-1.086569,0.2772273,0.4514418
"21923","ENSG00000259677.1","AC027176.2",6.229767,-0.2291731,0.161278,-1.420982,0.1553219,0.3007439
"21924","ENSG00000259678.1","AC066613.2",1.020354,0.2974355,0.2350957,1.265168,0.2058113,0.3670954
"21925","ENSG00000259680.5","AC136428.1",10.95587,-0.08945442,0.2633316,-0.3397026,0.7340805,0.8413135
"21926","ENSG00000259681.1","AC090527.1",0.278235,0.4628087,0.4087323,1.132303,0.2575071,NA
"21927","ENSG00000259682.1","AC091231.1",0.9156756,-0.03531992,0.3553744,-0.09938791,0.9208303,0.9571159
"21928","ENSG00000259683.1","AC243562.2",21.21343,0.07459152,0.1960649,0.3804431,0.7036166,0.8211035
"21929","ENSG00000259685.2","IDH2-DT",9.098048,-0.6320348,0.237537,-2.660785,0.007795876,0.03145441
"21930","ENSG00000259686.1","HNRNPA1P71",1.350557,-0.05678421,0.2105039,-0.2697537,0.7873498,0.8765257
"21931","ENSG00000259687.1","LINC01220",7.683319,-0.04709179,0.1281316,-0.3675269,0.7132261,0.8272693
"21932","ENSG00000259688.1","AC019288.1",0.4548911,-0.1610016,0.4257593,-0.3781517,0.7053179,0.8222597
"21933","ENSG00000259690.1","AC107980.1",0.2469411,-0.03100761,0.8949902,-0.03464575,0.9723622,NA
"21934","ENSG00000259691.2","FKBP1AP2",0.2927255,-0.1615067,1.099612,-0.146876,0.8832299,NA
"21935","ENSG00000259695.2","AC090164.1",0.1556902,0.3381043,1.069971,0.315994,0.7520071,NA
"21936","ENSG00000259696.2","AC104759.1",0.3762124,-0.4942131,0.3168407,-1.559816,0.1188034,NA
"21937","ENSG00000259697.1","AC126323.2",0.1267106,0.2729854,0.8168964,0.3341739,0.7382484,NA
"21938","ENSG00000259698.1","FAM30C",0.0318568,-0.1293475,2.272843,-0.05691,0.9546169,NA
"21939","ENSG00000259699.2","HMGB1P8",7.431297,-0.005297906,0.1357718,-0.03902067,0.9688739,0.9833167
"21940","ENSG00000259700.3","AC012379.2",0.08095255,-0.0602916,1.118973,-0.0538812,0.9570298,NA
"21941","ENSG00000259701.1","AC020891.3",0.6147958,-0.8478064,0.4774682,-1.775629,0.07579409,0.1783724
"21942","ENSG00000259704.1","AC124248.1",8.880929,-0.4001539,0.2410955,-1.659732,0.0969684,0.2138578
"21943","ENSG00000259705.1","AC084757.3",8.203916,0.005435405,0.1203113,0.04517783,0.9639656,0.9808358
"21944","ENSG00000259706.1","HSP90B2P",14.8021,-0.347556,0.1284459,-2.705856,0.006812862,0.02828686
"21945","ENSG00000259707.1","AC105339.4",4.251693,-0.0611247,0.1517056,-0.4029165,0.6870096,0.8096634
"21946","ENSG00000259708.1","AC090607.3",0.2367108,-0.1518614,0.423619,-0.3584857,0.7199799,NA
"21947","ENSG00000259709.1","AC023906.4",4.299599,0.7935723,0.226014,3.511164,0.0004461495,0.003189515
"21948","ENSG00000259710.1","NUTF2P6",3.01102,0.5940225,0.2469528,2.405409,0.01615438,0.0554669
"21949","ENSG00000259711.1","AC106738.1",28.26441,-0.2808584,0.1397674,-2.009471,0.04448725,0.1194862
"21950","ENSG00000259712.1","AC023906.5",8.44678,0.08415571,0.1423381,0.5912381,0.5543609,0.7077272
