ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000008323.14,826.6552735,-0.126418323,0.105340355,-1.20009395,0.230102855,0.396991534
ENSG00000008324.9,991.2498899,-0.057502669,0.069154917,-0.831505143,0.405688324,0.580680164
ENSG00000008382.14,1124.757278,0.176737046,0.084567414,2.089895366,0.0366272,0.103236784
ENSG00000008394.11,9025.463715,-0.458484503,0.126960003,-3.611251522,0.000304723,0.002332781
ENSG00000008405.10,1638.18441,0.004013451,0.063192322,0.063511687,0.949359053,0.972543337
ENSG00000008438.4,3.007003881,0.465535234,0.228941502,2.03342439,0.042009665,0.114444565
ENSG00000008441.15,8658.220922,0.110913743,0.119010175,0.931968575,0.351352766,0.529146352
ENSG00000008513.13,7406.210256,-0.364357183,0.116682338,-3.122642113,0.001792356,0.009838222
ENSG00000008516.15,310.750516,-0.358085556,0.173893271,-2.059226057,0.039472588,0.10919919
ENSG00000008517.15,2639.452177,-0.42937511,0.150739968,-2.84844899,0.00439329,0.020118677
ENSG00000008710.16,4326.626138,0.249494285,0.073155289,3.41047499,0.000648498,0.004316536
ENSG00000008735.13,1484.444489,-0.241964007,0.165098317,-1.465575247,0.142764039,0.283262673
ENSG00000008838.16,6163.017117,0.023298707,0.108397312,0.214938051,0.829815618,0.903132009
ENSG00000008853.15,1448.767254,0.260073401,0.077416228,3.359417113,0.000781071,0.005019956
ENSG00000008869.10,3130.497389,-0.028517667,0.060919513,-0.468120405,0.639698488,0.77461953
ENSG00000008952.15,10462.29746,-0.112244671,0.06172978,-1.818322882,0.069014797,0.166238903
ENSG00000008988.8,44074.11568,-0.060339635,0.086889052,-0.694444618,0.487403421,0.652435571
ENSG00000009307.14,37199.63462,-0.18441568,0.05614271,-3.284766255,0.00102067,0.006245798
ENSG00000009335.16,6168.394322,-0.28937636,0.056816187,-5.093202728,3.52E-07,8.77E-06
ENSG00000009413.14,1781.613798,-0.198159389,0.090938555,-2.179047024,0.029328175,0.087100393
ENSG00000009694.12,65.89502991,0.075427497,0.195284143,0.386244863,0.699315331,0.818066199
ENSG00000009709.10,32.10647954,-0.514920694,0.427324354,-1.204987943,0.228207956,0.394822333
ENSG00000009724.15,77.19275547,0.287825107,0.139146855,2.068498837,0.03859314,0.107456647
ENSG00000009765.13,124.3877573,-0.953340531,0.282039816,-3.380162933,0.000724429,0.004711806
ENSG00000009780.14,850.5634765,-0.143572303,0.043028821,-3.336654356,0.000847933,0.005380542
ENSG00000009790.13,645.5931129,-0.105831819,0.161916085,-0.653621407,0.513355749,0.674628933
ENSG00000009830.10,1588.055929,0.041301024,0.056256699,0.734152987,0.462855502,0.63207477
ENSG00000009844.14,2947.747081,-0.334501203,0.058453967,-5.722472203,1.05E-08,4.78E-07
ENSG00000009950.14,192.2515011,0.496045715,0.183739681,2.699720133,0.006939783,0.028688652
ENSG00000009954.9,8152.457766,-0.309477742,0.055082292,-5.618461622,1.93E-08,7.84E-07
ENSG00000010017.12,3999.864335,-0.34472942,0.072276424,-4.769597088,1.85E-06,3.47E-05
ENSG00000010030.12,399.6801646,-0.493563195,0.167975308,-2.938308025,0.00330009,0.016016807
ENSG00000010072.14,947.8415357,-0.18765506,0.057101012,-3.286370145,0.001014876,0.006218364
ENSG00000010165.18,3392.255892,0.060738823,0.064687336,0.938960023,0.34775127,0.525479171
ENSG00000010219.12,1039.125906,-0.06348849,0.073877415,-0.859376174,0.390133011,0.565997162
ENSG00000010244.15,8803.18404,-0.109449518,0.038830253,-2.818666134,0.004822365,0.021594364
